1000, 1000
945, 787, 757
945, 787, 757
946, 787, 757
945, 786, 756
945, 786, 756
945, 785, 755
945, 789, 759
946, 786, 756
946, 787, 757
946, 785, 755
947, 789, 759
945, 787, 757
946, 786, 756
947, 788, 758
946, 788, 758
946, 786, 756
945, 786, 756
945, 787, 757
947, 789, 759
945, 787, 757
946, 788, 758
946, 785, 755
946, 788, 758
946, 787, 757
946, 787, 757
946, 786, 756
946, 787, 757
945, 788, 758
946, 787, 757
945, 787, 757
945, 785, 755
947, 791, 761
945, 788, 758
945, 786, 756
946, 788, 758
945, 789, 759
946, 791, 761
946, 787, 757
945, 786, 756
946, 788, 758
944, 787, 757
945, 786, 756
946, 786, 756
945, 785, 755
945, 785, 755
945, 786, 756
944, 787, 757
946, 788, 758
944, 785, 755
945, 787, 757
946, 788, 758
946, 787, 757
946, 788, 758
946, 788, 758
945, 785, 755
946, 787, 757
946, 788, 758
946, 789, 759
945, 787, 757
948, 790, 760
945, 786, 756
945, 787, 757
946, 787, 757
945, 786, 756
946, 786, 756
947, 788, 758
945, 786, 756
946, 787, 757
947, 789, 759
946, 788, 758
945, 786, 756
946, 787, 757
945, 788, 758
947, 787, 757
946, 787, 757
946, 785, 755
947, 788, 758
946, 787, 757
946, 787, 757
946, 787, 757
945, 787, 757
946, 786, 756
948, 788, 758
947, 788, 758
945, 786, 756
945, 786, 756
945, 786, 756
946, 788, 758
946, 787, 757
946, 787, 757
946, 786, 756
946, 788, 758
946, 788, 758
946, 786, 756
948, 792, 762
946, 786, 756
946, 786, 756
947, 791, 761
946, 788, 758
945, 787, 757
946, 787, 757
945, 789, 759
945, 788, 758
946, 784, 754
946, 787, 757
945, 788, 758
946, 787, 757
948, 789, 759
945, 788, 758
946, 788, 758
947, 789, 759
945, 787, 757
945, 788, 758
946, 788, 758
945, 786, 756
945, 788, 758
945, 786, 756
946, 786, 756
946, 786, 756
946, 786, 756
947, 791, 761
946, 787, 757
946, 789, 759
946, 789, 759
945, 787, 757
947, 789, 759
944, 785, 755
945, 787, 757
946, 788, 758
945, 787, 757
946, 788, 758
946, 787, 757
946, 788, 758
945, 787, 757
947, 789, 759
945, 787, 757
945, 788, 758
947, 790, 760
945, 787, 757
946, 787, 757
945, 787, 757
946, 785, 755
946, 788, 758
946, 787, 757
945, 788, 758
946, 787, 757
946, 788, 758
945, 787, 757
946, 787, 757
946, 790, 760
946, 788, 758
945, 788, 758
945, 786, 756
946, 787, 757
946, 787, 757
946, 785, 755
